Species,Growth_rate,Colony_fecundity,Colony_area,Polyps_per_area,Polyp_fecundity,Eggs_per_area,Colony_maximum_diameter,Corallite_width_minimum,Corallite_width_maximum,GrowthForm_CTD,Abund_CTD,MeanPCcover,family_molecules,family_morphology,larval
Porites colonensis,NA,NA,NA,NA,NA,NA,NA,1.2,1.4,NA,NA,NA,NA,NA,NA
Porites columnaris,5.585,NA,NA,NA,NA,NA,NA,1.1,1.5,NA,NA,NA,NA,NA,NA
Porites compressa,5.991684210526316,NA,NA,61,NA,NA,123,0.8,1.6,NA,NA,NA,NA,NA,NA
Porites cumulatus,NA,NA,NA,NA,NA,NA,NA,0.8,1.1,NA,NA,NA,NA,NA,NA
Porites cylindrica,8.443,NA,NA,NA,NA,NA,1000,0.8,1.1,NA,NA,NA,NA,NA,NA
Porites deformis,NA,NA,NA,NA,NA,NA,NA,1.2,1.6,NA,NA,NA,NA,NA,NA
Porites densa,NA,NA,NA,NA,NA,NA,15,1,1.3,NA,NA,NA,NA,NA,NA
Porites desilveri,NA,NA,NA,NA,NA,NA,NA,0.6,1,NA,NA,NA,NA,NA,NA
Porites divaricata,NA,NA,NA,NA,NA,NA,NA,0.8,1.1,NA,NA,NA,NA,NA,NA
Porites echinulata,NA,NA,NA,NA,NA,NA,NA,1.2,2.1,NA,NA,NA,NA,NA,NA
Porites eridani,NA,NA,NA,NA,NA,NA,NA,0.6,0.8,NA,NA,NA,NA,NA,NA
Porites evermanni,11.6,NA,NA,NA,NA,NA,120,0.8,1,NA,NA,NA,NA,NA,NA
Porites flavus,NA,NA,NA,NA,NA,NA,40,0.5,0.7,NA,NA,NA,NA,NA,NA
Porites furcata,34.599999999999994,NA,NA,NA,NA,NA,NA,1.3,1.9,NA,NA,NA,NA,NA,NA
Porites harrisoni,NA,NA,NA,NA,NA,NA,100,0.8,1.1,NA,NA,NA,NA,NA,NA
Porites heronensis,10.5,NA,NA,NA,NA,NA,NA,0.9,1.5,NA,NA,NA,NA,NA,NA
Porites horizontalata,NA,NA,NA,NA,NA,NA,NA,1.1,1.7,digitate,uncommon,0.41,Poritidae,Poritidae,NA
Porites latistella,NA,NA,NA,NA,NA,NA,NA,0.9,1.4,digitate,uncommon,0.19,Poritidae,Poritidae,NA
Porites lichen,16.3,NA,NA,NA,NA,NA,NA,1.3,1.4,laminar,common,1.337,Poritidae,Poritidae,NA
Porites lobata,9.51138961038961,NA,NA,76.7,NA,NA,542.5,0.9,1.1,NA,NA,NA,NA,NA,NA
Porites mayeri,13,NA,NA,NA,NA,NA,400,1.3,1.6,NA,NA,NA,NA,NA,NA
Porites monticulosa,NA,NA,NA,NA,NA,NA,100,0.9,1.2,NA,NA,NA,NA,NA,NA
Porites murrayensis,NA,NA,NA,NA,NA,NA,20,0.7,1,NA,NA,NA,NA,NA,NA
Porites myrmidonensis,NA,NA,NA,NA,NA,NA,400,0.9,1.4,NA,NA,NA,NA,NA,NA
Porites napopora,NA,NA,NA,NA,NA,NA,NA,0.7,0.9,NA,NA,NA,NA,NA,NA
Porites negrosensis,NA,NA,NA,NA,NA,NA,NA,1.1,1.7,NA,NA,NA,NA,NA,NA
Porites nigrescens,17.8,NA,NA,NA,NA,NA,NA,1.4,1.6,branching_closed,uncommon,0.719,Poritidae,Poritidae,NA
Porites nodifera,11.2,NA,NA,NA,NA,NA,NA,0.9,1.6,NA,NA,NA,NA,NA,NA
Porites okinawensis,NA,NA,NA,NA,NA,NA,NA,0.8,1.3,NA,NA,NA,NA,NA,NA
Porites ornata,NA,NA,NA,NA,NA,NA,NA,1.3,1.5,NA,NA,NA,NA,NA,NA
Porites panamensis,NA,NA,NA,NA,NA,NA,NA,0.7,0.9,NA,NA,NA,NA,NA,NA
Porites porites,16.87875,NA,NA,23.8,NA,NA,19.8975,2,2.5,NA,NA,NA,NA,NA,NA
Porites profundus,NA,NA,NA,NA,NA,NA,NA,0.7,0.9,NA,NA,NA,NA,NA,NA
Porites pukoensis,NA,NA,NA,NA,NA,NA,NA,1.2,1.7,NA,NA,NA,NA,NA,NA
Porites rugosa,NA,NA,NA,NA,NA,NA,100,0.7,0.9,branching_closed,uncommon,1.603,Poritidae,Poritidae,NA
Porites rus,1.27,NA,NA,NA,NA,NA,500,0.6,0.8,digitate,common,0.693,Poritidae,Poritidae,spawner
Porites sillimaniani,NA,NA,NA,NA,NA,NA,NA,1.2,1.9,NA,NA,NA,NA,NA,NA
Porites solida,13.46,NA,NA,NA,NA,NA,NA,1.3,1.6,massive,common,0.068,Poritidae,Poritidae,spawner
Porites somaliensis,NA,NA,NA,NA,NA,NA,NA,1.7,2.3,NA,NA,NA,NA,NA,NA
Porites stephensoni,NA,NA,NA,NA,NA,NA,10,0.9,1.3,NA,NA,NA,NA,NA,NA
Porites tuberculosa,NA,NA,NA,NA,NA,NA,NA,0.7,1.1,branching_closed,uncommon,0.819,Poritidae,Poritidae,NA
Porites vaughani,NA,NA,NA,NA,NA,NA,20,0.6,0.8,encrusting,uncommon,0.613,Poritidae,Poritidae,NA
Goniopora paliformis,NA,NA,NA,NA,NA,NA,NA,1.6,2.7,NA,NA,NA,NA,NA,NA
Psammocora contigua,NA,NA,NA,NA,NA,NA,50,1.1,1.5,NA,NA,NA,NA,NA,NA
Psammocora digitata,NA,NA,NA,NA,NA,NA,6.5,1.8,2.3,columnar,common,0.075,Psammocoridae,Siderastreidae,NA
Cycloseris explanulata,NA,NA,NA,NA,NA,NA,NA,3.4,4.5,laminar,common,0.007,Fungiidae,Siderastreidae,NA
Psammocora haimiana,29.5,NA,NA,NA,NA,NA,NA,1.7,4.6,NA,NA,NA,NA,NA,NA
Psammocora verrilli,NA,NA,NA,NA,NA,NA,NA,1.2,2.3,NA,NA,NA,NA,NA,NA
Psammocora profundacella,NA,NA,NA,NA,NA,NA,NA,1.8,2.5,encrusting,common,0.048,Psammocoridae,Siderastreidae,spawner
Psammocora stellata,11.3,NA,NA,NA,NA,NA,NA,2,2.5,NA,NA,NA,NA,NA,NA
Psammocora superficialis,3.566666666666667,NA,NA,NA,NA,NA,NA,1.3,1.8,NA,NA,NA,NA,NA,NA
Pseudosiderastrea tayamai,NA,NA,NA,NA,NA,NA,16,3.5,4,NA,NA,NA,NA,NA,NA
Sandalolitha dentata,NA,NA,NA,NA,NA,NA,NA,1.8,3.5,NA,NA,NA,NA,NA,NA
Sandalolitha robusta,NA,NA,NA,NA,NA,NA,50,3.9,4.6,massive,common,0.053,Fungiidae,Fungiidae,spawner
Scapophyllia cylindrica,NA,NA,NA,NA,NA,NA,NA,2.9,3.8,columnar,uncommon,0.033,Merulinidae,Merulinidae,spawner
Schizoculina africana,NA,NA,NA,NA,NA,NA,100,5.9,9.1,NA,NA,NA,NA,NA,NA
Schizoculina fissipara,NA,NA,NA,NA,NA,NA,100,1.7,3.4,NA,NA,NA,NA,NA,NA
Homophyllia australis,NA,NA,NA,NA,NA,NA,4.3,NA,75,NA,NA,NA,NA,NA,NA
Scolymia cubensis,NA,NA,NA,NA,NA,NA,10,NA,56.5,NA,NA,NA,NA,NA,NA
Parascolymia vitiensis,NA,NA,NA,NA,NA,NA,11.166666666666666,NA,70,NA,NA,NA,NA,NA,NA
Seriatopora aculeata,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,NA,NA,NA,NA,NA,NA
Seriatopora caliendrum,58,NA,NA,NA,NA,NA,NA,0.7,1.1,branching_closed,uncommon,0.054,Pocilloporidae,Pocilloporidae,brooder
Seriatopora dentritica,NA,NA,NA,NA,NA,NA,NA,0.5,0.6,NA,NA,NA,NA,NA,NA
Seriatopora guttata,NA,NA,NA,NA,NA,NA,30,0.6,0.6,NA,NA,NA,NA,NA,NA
Seriatopora hystrix,32.7,NA,NA,NA,NA,NA,NA,0.6,0.8,branching_closed,common,0.412,Pocilloporidae,Pocilloporidae,brooder
Seriatopora stellata,NA,NA,NA,NA,NA,NA,NA,0.5,0.6,NA,NA,NA,NA,NA,NA
Siderastrea glynni,NA,NA,NA,NA,NA,NA,10,2.6,3.5,NA,NA,NA,NA,NA,NA
Siderastrea radians,3.25,NA,NA,NA,NA,NA,17.11,2.5,3,NA,NA,NA,NA,NA,NA
Siderastrea savignyana,NA,NA,NA,NA,NA,NA,100,2.8,3.8,NA,NA,NA,NA,NA,NA
Siderastrea siderea,8.072424242424242,NA,NA,NA,NA,NA,81.7675,3.4,4.5,NA,NA,NA,NA,NA,NA
Siderastrea stellata,NA,NA,NA,NA,NA,NA,NA,2.7,3,NA,NA,NA,NA,NA,NA
Simplastrea vesicularis,NA,NA,NA,NA,NA,NA,NA,3.2,4.2,NA,NA,NA,NA,NA,NA
Solenastrea bournoni,NA,NA,NA,NA,NA,NA,NA,1.5,20.5,NA,NA,NA,NA,NA,NA
Solenastrea hyades,15,NA,NA,NA,NA,NA,NA,2.5,4.2,NA,NA,NA,NA,NA,NA
Stephanocoenia intersepta,1.8,NA,NA,NA,NA,NA,37.98,2.1,2.7,NA,NA,NA,NA,NA,NA
Stylaraea punctata,NA,NA,NA,NA,NA,NA,6,1.1,1.2,NA,NA,NA,NA,NA,NA
Stylocoeniella armata,NA,NA,NA,NA,NA,NA,NA,1.3,2.3,encrusting,common,0.019,Pocilloporidae,Astrocoeniidae,NA
Stylocoeniella cocosensis,NA,NA,NA,NA,NA,NA,NA,0.6,0.7,encrusting,rare,0.01,Pocilloporidae,Astrocoeniidae,NA
Stylocoeniella guentheri,NA,NA,NA,NA,NA,NA,50,1,1.1,digitate,common,0.024,Pocilloporidae,Astrocoeniidae,NA
Stylophora danae,12,NA,NA,NA,NA,NA,NA,0.8,1.1,NA,NA,NA,NA,NA,NA
Stylophora kuehlmanni,NA,NA,NA,NA,NA,NA,NA,0.4,0.7,NA,NA,NA,NA,NA,NA
Stylophora madagascarensis,NA,NA,NA,NA,NA,NA,20,0.7,0.8,NA,NA,NA,NA,NA,NA
Stylophora mamillata,NA,NA,NA,NA,NA,NA,10,0.8,1,NA,NA,NA,NA,NA,NA
Stylophora subseriata,NA,NA,NA,NA,NA,NA,NA,0.6,0.7,NA,NA,NA,NA,NA,NA
Stylophora wellsi,NA,NA,NA,NA,NA,NA,NA,0.6,0.7,NA,NA,NA,NA,NA,NA
Symphyllia agaricia,NA,NA,NA,NA,NA,NA,NA,20,33.5,massive,common,0.067,Lobophyllidae,Mussidae,NA
Symphyllia erythraea,NA,NA,NA,NA,NA,NA,NA,13.5,17.5,NA,NA,NA,NA,NA,NA
Symphyllia hassi,NA,NA,NA,NA,NA,NA,20,12.5,20,NA,NA,NA,NA,NA,NA
Symphyllia radians,NA,NA,NA,NA,NA,NA,NA,25,35,massive,common,0.121,Lobophyllidae,Mussidae,spawner
Symphyllia recta,NA,NA,NA,NA,NA,NA,NA,9,15,massive,common,0.083,Lobophyllidae,Mussidae,spawner
Symphyllia valenciennesii,NA,NA,NA,NA,NA,NA,NA,30,35,encrusting,common,0.035,Lobophyllidae,Mussidae,NA
Hydnophyllia wilsoni,NA,NA,NA,NA,NA,NA,NA,17.5,30,NA,NA,NA,NA,NA,NA
Trachyphyllia geoffroyi,NA,NA,NA,NA,NA,NA,8,3.5,4,NA,NA,NA,NA,NA,NA
Turbinaria bifrons,NA,NA,NA,NA,NA,NA,NA,1.4,1.6,NA,NA,NA,NA,NA,NA
Turbinaria conspicua,NA,NA,NA,NA,NA,NA,NA,1,1.6,NA,NA,NA,NA,NA,NA
Turbinaria frondens,14,NA,NA,NA,NA,NA,400,0.9,1.1,laminar,common,0.2,Dendrophylliidae,Dendrophylliidae,spawner
Turbinaria heronensis,NA,NA,NA,NA,NA,NA,NA,3.5,4.4,NA,NA,NA,NA,NA,NA
Turbinaria irregularis,NA,NA,NA,NA,NA,NA,NA,1.5,2.1,NA,NA,NA,NA,NA,NA
Turbinaria mesenterina,19.28,NA,NA,NA,NA,NA,100,2.3,3.5,NA,NA,NA,NA,NA,NA
Turbinaria patula,NA,NA,NA,NA,NA,NA,NA,2.3,3.5,NA,NA,NA,NA,NA,NA
Duncanopsammia peltata,NA,NA,NA,NA,NA,NA,NA,4.2,4.8,NA,NA,NA,NA,NA,NA
Turbinaria radicalis,NA,NA,NA,NA,NA,NA,100,2,2.5,NA,NA,NA,NA,NA,NA
Turbinaria reniformis,NA,NA,NA,NA,NA,NA,500,2.8,4.2,laminar,uncommon,0.247,Dendrophylliidae,Dendrophylliidae,spawner
Turbinaria stellulata,NA,NA,NA,NA,NA,NA,NA,2.1,3.3,massive,uncommon,0.068,Dendrophylliidae,Dendrophylliidae,NA
Zoopilus echinatus,NA,NA,NA,NA,NA,NA,60,NA,20,massive,uncommon,0.15,Fungiidae,Fungiidae,NA
Orbicella faveolata,6.345454545454546,NA,NA,NA,NA,NA,342,NA,NA,NA,NA,NA,NA,NA,NA
Orbicella franksi,5.21625,NA,NA,NA,NA,NA,257.415,NA,NA,NA,NA,NA,NA,NA,NA
Oculina arbuscula,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
Madracis carmabi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astrea curta,2.6,NA,NA,NA,NA,NA,NA,7,9.3,NA,NA,NA,NA,NA,NA
Montastraea cavernosa,8.258333333333333,NA,NA,1.2125,NA,NA,147.845,7,10,NA,NA,NA,NA,NA,NA
Astrea annuligera,NA,NA,NA,NA,NA,NA,NA,2.6,6.3,NA,NA,NA,NA,NA,NA
Favites valenciennesi,NA,NA,NA,NA,NA,NA,NA,7.5,10,NA,NA,NA,NA,NA,NA
Acropora eurystoma,20.2,NA,NA,NA,NA,NA,NA,1.2,2,NA,NA,NA,NA,NA,NA
Montipora solanderi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coscinaraea hahazimaensis,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA
Favites colemani,NA,NA,NA,NA,NA,NA,40,4.1,7.8,NA,NA,NA,NA,NA,NA
Favites magnistellata,NA,NA,NA,NA,NA,NA,200,5.1,12.1,NA,NA,NA,NA,NA,NA
Micromussa multipunctata,NA,NA,NA,NA,NA,NA,30,4.4,9.3,NA,NA,NA,NA,NA,NA
Paramontastraea salebrosa,NA,NA,NA,NA,NA,NA,NA,3.5,4.7,NA,NA,NA,NA,NA,NA
Paramontastraea serageldini,NA,NA,NA,NA,NA,NA,80,4.2,5,NA,NA,NA,NA,NA,NA
Phacelocyathus flos,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
Placotrochides frustum,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Porites decasepta,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
Porites sverdrupi,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
Acropora halmaherae,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,NA,NA,NA,NA,NA,NA
Acropora mossambica,NA,NA,NA,NA,NA,NA,NA,0.8,0.9,NA,NA,NA,NA,NA,NA
Acropora ridzwani,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,NA,NA,NA,NA,NA,NA
Acropora rongelapensis,NA,NA,NA,NA,NA,NA,NA,0.5,0.8,NA,NA,NA,NA,NA,NA
Acropora spathulata,NA,NA,NA,NA,NA,NA,NA,0.8,1.5,NA,NA,NA,NA,NA,NA
Acropora sukarnoi,NA,NA,NA,NA,NA,NA,150,0.7,1.5,NA,NA,NA,NA,NA,NA
Astrangia atrata,NA,NA,NA,NA,NA,NA,NA,3.4,5.9,NA,NA,NA,NA,NA,NA
Astreopora explanata,NA,NA,NA,NA,NA,NA,NA,0.8,1.6,NA,NA,NA,NA,NA,NA
Balanophyllia cyathoides,NA,NA,NA,NA,NA,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA
Goniopora tantillus,NA,NA,NA,NA,NA,NA,NA,2,2.9,NA,NA,NA,NA,NA,NA
Idiotrochus emarciatus,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA
Madracis myriaster,NA,NA,NA,NA,NA,NA,NA,1.5,1.7,NA,NA,NA,NA,NA,NA
Oculina profunda,NA,NA,NA,NA,NA,NA,NA,2,3.7,NA,NA,NA,NA,NA,NA
Oculina robusta,NA,NA,NA,NA,NA,NA,NA,2.9,3.7,NA,NA,NA,NA,NA,NA
Pavona chiriquiensis,NA,NA,NA,NA,NA,NA,NA,0.8,1.4,NA,NA,NA,NA,NA,NA
Plerogyra multilobata,NA,NA,NA,NA,NA,NA,NA,14,21,NA,NA,NA,NA,NA,NA
Polycyathus fulvus,NA,NA,NA,NA,NA,NA,NA,NA,74.4,NA,NA,NA,NA,NA,NA
Polycyathus furanaensis,NA,NA,NA,NA,NA,NA,NA,NA,311.7,NA,NA,NA,NA,NA,NA
Pseudosiderastrea formosa,NA,NA,NA,NA,NA,NA,NA,2.8,3.7,NA,NA,NA,NA,NA,NA
Dichocoenia stellaris,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
Helioseris cucullata,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA
Colpophyllia breviserialis,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
Acropora khayranensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora paragemmifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora sirikitiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enigmopora darveliensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthemiphyllia dentata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthemiphyllia frustum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthemiphyllia macrolobata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthemiphyllia multidentata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthemiphyllia pacifica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthemiphyllia spinifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madracis auretenra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madracis brueggemanni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madracis hellana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madracis kauaiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madracis profunda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stylocoeniella muscosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anomocora carinata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anomocora fecunda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anomocora gigas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anomocora marchadi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anomocora prolifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aulocyathus atlanticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aulocyathus juvenescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aulocyathus matricidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aulocyathus recidivus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathycyathus chilensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bourneotrochus stellulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia abrupta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia abyssorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia alaskensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia alberti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia antillarum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia arnoldi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia atlantica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia barbadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia berteriana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia calveri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia cincticulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia cornulum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia corrugata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia crosnieri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia cyathus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia decamera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia dentata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia diomedeae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia eltaninae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia ephyala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia foresti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia grandis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia grayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia hawaiiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia horologium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia inornata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia jogashimaensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia karubarica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia lamellifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia mabahithi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia marmorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia octonaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia octopali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia paradoxus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia paucipalata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia perculta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia planilamellata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia polygona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia profunda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia quadragenaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia quangdongensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia ralphae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia rugosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia sarsiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia scobinosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia secta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia seguenzae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia sewelli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia smithii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia solida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia spinicarens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia spinigera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia squiresi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia stellula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia transversalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia unicristata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia valdiviae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia versicolorata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia zanzibarensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia zopyros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratotrochus franciscana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratotrochus magnaghii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenocyathus anthophyllites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
